NoCurso	Curso	Docente	Clave Oficial	Matricula	Alumno	Calificacion	Edo Eval	Edo Al	Tipo Eval	Fecha Registro	Tipo Entrega	Registró Acta	Grupo	Turno	Modalidad	Periodo	Programa	Creditos	Nombre Ofical	Plan Estudio Periodo	Numero Periodo	Etapa Formativa	Tipo Asignatura	Orden	Estado Evaluacion	Periodo Actual	Estado Alumno	Campus	Bloque	Tipo Evaluacion	F.Carga Aca
15126	SIMULACIÓN	SANTOS LUNA GERARDO	INIM-202907	MRIX235656	RAÚL GÓMEZ SANTOS	7.3	A	AC	EXT	09/25/2023	ORDINARIA	SANTOS LUNA GERARDO	42IIS160	Matutino	PRESENCIAL	02/17/2024	INGENIERÍA EN SISTEMAS	5	SIMULACIÓN	CUATRIMESTRE 1	6	BÁSICA	OBLIGATORIA	2	ACREDITADA	CUATRIMESTRE 3	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 1	ORDINARIA	11/28/2024
15127	ADMINISTRACIÓN INDUSTRIAL	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-206199	MRIX217074	CAROLINA MENDOZA GONZÁLEZ	8.7	A	RE	EXT	04/02/2024	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	40IIS851	Vespertino	VIRTUAL	12/31/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	7	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 5	3	PROFESIONAL	OBLIGATORIA	2	ACREDITADA	CUATRIMESTRE 3	REGULAR	CUATLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	12/26/2023
15128	INVESTIGACIÓN I	CORAZA SEGARRA DANIEL ARMANDO	INIM-200186	MRIX205806	ISABELA IBARRA MARTÍNEZ	8.7	A	AC	EXT	11/18/2024	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	34IIS314	Matutino	VIRTUAL	07/01/2023	LICENCIATURA EN INGENIERÍA INDUSTRIAL	7	INVESTIGACIÓN I	CUATRIMESTRE 4	3	BÁSICA	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 2	EGRESADO	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	07/03/2025
15129	INVESTIGACIÓN I	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-205221	MRIX223318	LUCÍA GUZMÁN ROJAS	8.5	A	EG	ORD	08/26/2024	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	34IIS207	Vespertino	VIRTUAL	03/10/2023	INGENIERÍA EN SISTEMAS	6	INVESTIGACIÓN I	CUATRIMESTRE 2	8	TERMINAL	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 6	REGULAR	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	02/11/2023
15130	CREATIVIDAD E INNOVACIÓN	SANTOS LUNA GERARDO	INIM-206705	MRIX196129	MARIANO GONZÁLEZ ROLÓN	8.3	A	EG	EXT	02/25/2024	ORDINARIA	SANTOS LUNA GERARDO	90IIS667	Vespertino	SEMIPRESENCIAL	11/09/2024	INGENIERÍA MECÁNICA	6	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 9	1	BÁSICA	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 5	EGRESADO	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	01/25/2024
15131	SIMULACIÓN	SANTOS LUNA GERARDO	INIM-201342	MRIX239598	LUIS LÓPEZ RAMOS	7.4	A	EG	EXT	12/16/2023	ORDINARIA	SANTOS LUNA GERARDO	61IIS964	Matutino	VIRTUAL	02/28/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	6	SIMULACIÓN	CUATRIMESTRE 2	2	BÁSICA	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 5	REGULAR	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	08/20/2024
15132	SIMULACIÓN	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-205632	MRIX206671	MARISOL VELÁSQUEZ GUZMÁN	5.9	NA	RE	ORD	07/18/2023	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	70IIS523	Matutino	VIRTUAL	11/06/2023	INGENIERÍA EN SISTEMAS	7	SIMULACIÓN	CUATRIMESTRE 10	10	BÁSICA	OPTATIVA	0	NO ACREDITADA	CUATRIMESTRE 4	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	06/25/2023
15133	CREATIVIDAD E INNOVACIÓN	CORAZA SEGARRA DANIEL ARMANDO	INIM-202067	MRIX234453	DAVID ALFARO ESPINOZA	8.2	A	EG	ORD	03/09/2024	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	06IIS533	Matutino	VIRTUAL	12/09/2023	INGENIERÍA EN SISTEMAS	5	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 2	8	TERMINAL	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 7	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	01/30/2024
15134	ADMINISTRACIÓN INDUSTRIAL	RODRIGUEZ GARCIA MARTHA MARIA	INIM-209219	MRIX196951	FERNANDO JAIMES GONZÁLEZ	8.2	A	EG	EXT	07/25/2023	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	13IIS904	Vespertino	VIRTUAL	10/31/2023	INGENIERÍA EN SISTEMAS	5	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 5	7	TERMINAL	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 9	REGULAR	CUATLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	08/05/2023
15135	SIMULACIÓN	CORAZA SEGARRA DANIEL ARMANDO	INIM-204965	MRIX238343	MARISOL SANTOS IBARRA	6.7	NA	RE	ORD	02/11/2023	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	40IIS387	Vespertino	VIRTUAL	02/01/2025	LICENCIATURA EN INGENIERÍA INDUSTRIAL	5	SIMULACIÓN	CUATRIMESTRE 8	8	BÁSICA	OPTATIVA	1	NO ACREDITADA	CUATRIMESTRE 2	REGULAR	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	11/22/2024
15136	SIMULACIÓN	CORAZA SEGARRA DANIEL ARMANDO	INIM-208589	MRIX222055	ISABELA CASTILLO JIMÉNEZ	5.4	NA	AC	ORD	04/06/2025	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	73IIS129	Matutino	VIRTUAL	11/03/2025	INGENIERÍA EN SISTEMAS	5	SIMULACIÓN	CUATRIMESTRE 3	5	TERMINAL	OPTATIVA	2	NO ACREDITADA	CUATRIMESTRE 4	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	10/05/2023
15137	INVESTIGACIÓN I	SANTOS LUNA GERARDO	INIM-205640	MRIX213855	PEDRO SALAZAR LÓPEZ	5.4	NA	AC	EXT	08/29/2025	ORDINARIA	SANTOS LUNA GERARDO	21IIS957	Vespertino	SEMIPRESENCIAL	12/30/2023	INGENIERÍA EN SISTEMAS	10	INVESTIGACIÓN I	CUATRIMESTRE 5	10	PROFESIONAL	OBLIGATORIA	1	NO ACREDITADA	CUATRIMESTRE 2	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 1	ORDINARIA	12/17/2024
15138	CREATIVIDAD E INNOVACIÓN	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-204135	MRIX204219	JORGE IBARRA SEGARRA	7.9	A	EG	ORD	01/18/2023	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	78IIS924	Matutino	VIRTUAL	12/21/2023	LICENCIATURA EN INGENIERÍA INDUSTRIAL	10	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 5	3	TERMINAL	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 5	EGRESADO	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	04/03/2024
15139	CREATIVIDAD E INNOVACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-205327	MRIX225543	VALERIA REYES DÍAZ	8.4	A	RE	EXT	11/19/2024	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	36IIS367	Vespertino	SEMIPRESENCIAL	05/11/2023	INGENIERÍA MECÁNICA	7	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 5	2	BÁSICA	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 4	EGRESADO	CUATLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	07/20/2024
15140	ADMINISTRACIÓN INDUSTRIAL	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-205873	MRIX212885	OSCAR RAMOS ARREOLA	8.8	A	EG	ORD	12/30/2025	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	65IIS407	Vespertino	VIRTUAL	03/31/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	6	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 3	6	PROFESIONAL	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 9	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 2	ORDINARIA	09/01/2025
15141	INVESTIGACIÓN I	CORAZA SEGARRA DANIEL ARMANDO	INIM-207709	MRIX233592	MIGUEL MATA REYES	10.0	A	RE	EXT	08/07/2025	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	07IIS987	Matutino	PRESENCIAL	08/25/2024	INGENIERÍA EN SISTEMAS	7	INVESTIGACIÓN I	CUATRIMESTRE 10	5	PROFESIONAL	OBLIGATORIA	2	ACREDITADA	CUATRIMESTRE 10	EGRESADO	CUATLA UNIVERSIDAD	Bloque 2	ORDINARIA	08/30/2023
15142	ADMINISTRACIÓN INDUSTRIAL	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-200950	MRIX217361	NAYELI GUZMÁN QUINTANILLA	5.1	NA	AC	EXT	12/29/2023	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	01IIS562	Matutino	PRESENCIAL	11/12/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	6	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 5	2	PROFESIONAL	OPTATIVA	1	NO ACREDITADA	CUATRIMESTRE 4	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	10/03/2024
15143	ADMINISTRACIÓN INDUSTRIAL	CORAZA SEGARRA DANIEL ARMANDO	INIM-200067	MRIX207698	ARMANDO SEGARRA HERNÁNDEZ	5.3	NA	EG	ORD	01/26/2024	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	81IIS851	Vespertino	VIRTUAL	12/23/2025	INGENIERÍA EN SISTEMAS	7	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 4	1	PROFESIONAL	OPTATIVA	1	NO ACREDITADA	CUATRIMESTRE 4	REGULAR	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	02/06/2023
15144	SIMULACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-202701	MRIX235608	MIGUEL PÉREZ GUZMÁN	8.6	A	EG	EXT	01/05/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	52IIS119	Matutino	VIRTUAL	09/30/2025	LICENCIATURA EN INGENIERÍA INDUSTRIAL	10	SIMULACIÓN	CUATRIMESTRE 4	3	PROFESIONAL	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 4	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	01/21/2024
15145	INVESTIGACIÓN I	SANTOS LUNA GERARDO	INIM-202508	MRIX196740	SOFÍA MENDOZA TOLEDO	5.2	NA	AC	ORD	06/01/2024	ORDINARIA	SANTOS LUNA GERARDO	27IIS811	Matutino	SEMIPRESENCIAL	09/11/2023	INGENIERÍA EN SISTEMAS	10	INVESTIGACIÓN I	CUATRIMESTRE 1	8	BÁSICA	OBLIGATORIA	1	NO ACREDITADA	CUATRIMESTRE 5	EGRESADO	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	08/29/2025
15146	INVESTIGACIÓN I	RODRIGUEZ GARCIA MARTHA MARIA	INIM-202627	MRIX207455	BEATRIZ VALVERDE ECHEVERRÍA	8.7	A	EG	ORD	04/19/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	06IIS661	Matutino	VIRTUAL	01/03/2025	INGENIERÍA MECÁNICA	7	INVESTIGACIÓN I	CUATRIMESTRE 8	9	BÁSICA	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 4	IRREGULAR	JOJUTLA UNIVERSIDAD	Bloque 1	ORDINARIA	08/27/2024
15147	CREATIVIDAD E INNOVACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-201635	MRIX192402	LAURA GARCÍA GARCÍA	8.4	A	AC	EXT	08/08/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	23IIS995	Vespertino	PRESENCIAL	06/24/2024	INGENIERÍA MECÁNICA	6	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 1	8	BÁSICA	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 5	EGRESADO	CUATLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	04/13/2023
15148	SIMULACIÓN	CORAZA SEGARRA DANIEL ARMANDO	INIM-207479	MRIX190751	ALONSO SÁNCHEZ PÉREZ	7.0	A	EG	ORD	03/31/2025	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	35IIS955	Matutino	VIRTUAL	08/22/2023	INGENIERÍA MECÁNICA	7	SIMULACIÓN	CUATRIMESTRE 7	6	PROFESIONAL	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 8	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	03/30/2025
15149	ADMINISTRACIÓN INDUSTRIAL	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-207220	MRIX193204	MIGUEL ECHEVERRÍA JAIMES	6.2	NA	RE	EXT	08/20/2023	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	06IIS164	Vespertino	SEMIPRESENCIAL	09/26/2025	INGENIERÍA EN SISTEMAS	5	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 5	3	TERMINAL	OPTATIVA	1	NO ACREDITADA	CUATRIMESTRE 6	REGULAR	JOJUTLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	04/22/2025
15150	MATEMÁTICAS APLICADAS	SANTOS LUNA GERARDO	INIM-201226	MRIX232153	ALVARO ORTIZ QUINTANILLA	8.5	A	EG	ORD	10/12/2025	ORDINARIA	SANTOS LUNA GERARDO	97IIS603	Matutino	VIRTUAL	08/19/2025	INGENIERÍA MECÁNICA	5	MATEMÁTICAS APLICADAS	CUATRIMESTRE 6	3	PROFESIONAL	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 4	REGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	12/05/2023
15151	SIMULACIÓN	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-206755	MRIX227200	SERGIO CRUZ ROLÓN	8.5	A	RE	EXT	07/30/2023	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	05IIS670	Vespertino	VIRTUAL	02/06/2023	LICENCIATURA EN INGENIERÍA INDUSTRIAL	5	SIMULACIÓN	CUATRIMESTRE 9	8	TERMINAL	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 1	REGULAR	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	04/06/2025
15152	MATEMÁTICAS APLICADAS	RODRIGUEZ GARCIA MARTHA MARIA	INIM-205818	MRIX226177	SERGIO ROLÓN DÍAZ	6.5	NA	RE	EXT	01/05/2023	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	82IIS919	Matutino	VIRTUAL	03/30/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	5	MATEMÁTICAS APLICADAS	CUATRIMESTRE 5	2	PROFESIONAL	OPTATIVA	2	NO ACREDITADA	CUATRIMESTRE 9	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	11/30/2024
15153	INVESTIGACIÓN I	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-209655	MRIX222345	JORGE SANTOS RAMÍREZ	10.0	A	AC	EXT	07/11/2025	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	65IIS237	Matutino	PRESENCIAL	09/10/2023	INGENIERÍA MECÁNICA	5	INVESTIGACIÓN I	CUATRIMESTRE 8	7	BÁSICA	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 1	REGULAR	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	07/25/2025
15154	INVESTIGACIÓN I	CORAZA SEGARRA DANIEL ARMANDO	INIM-202263	MRIX203438	JULIA ESPINOZA CORAZA	8.3	A	RE	ORD	07/16/2025	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	53IIS716	Matutino	VIRTUAL	08/25/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	7	INVESTIGACIÓN I	CUATRIMESTRE 9	7	TERMINAL	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 5	EGRESADO	CUATLA UNIVERSIDAD	Bloque 2	ORDINARIA	10/01/2023
15155	SIMULACIÓN	SANTOS LUNA GERARDO	INIM-201744	MRIX216250	ROBERTO DÍAZ OLIVÁREZ	6.0	NA	RE	EXT	01/27/2023	ORDINARIA	SANTOS LUNA GERARDO	04IIS490	Matutino	SEMIPRESENCIAL	05/15/2025	LICENCIATURA EN INGENIERÍA INDUSTRIAL	10	SIMULACIÓN	CUATRIMESTRE 3	9	TERMINAL	OPTATIVA	1	NO ACREDITADA	CUATRIMESTRE 1	EGRESADO	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	12/06/2025
15156	ADMINISTRACIÓN INDUSTRIAL	RODRIGUEZ GARCIA MARTHA MARIA	INIM-206349	MRIX212992	ARMANDO FLORES HERRERA	8.7	A	AC	ORD	04/07/2023	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	54IIS907	Vespertino	PRESENCIAL	08/12/2024	INGENIERÍA MECÁNICA	10	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 6	4	TERMINAL	OBLIGATORIA	2	ACREDITADA	CUATRIMESTRE 9	IRREGULAR	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	02/20/2025
15157	SIMULACIÓN	SANTOS LUNA GERARDO	INIM-200665	MRIX206618	BEATRIZ SEGARRA ROJAS	8.5	A	EG	ORD	09/02/2023	ORDINARIA	SANTOS LUNA GERARDO	55IIS385	Matutino	SEMIPRESENCIAL	11/18/2025	INGENIERÍA MECÁNICA	6	SIMULACIÓN	CUATRIMESTRE 9	3	BÁSICA	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 5	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	02/11/2025
15158	MATEMÁTICAS APLICADAS	RODRIGUEZ GARCIA MARTHA MARIA	INIM-201117	MRIX201247	JUAN ORTIZ SALAZAR	7.6	A	EG	EXT	01/12/2024	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	65IIS263	Matutino	SEMIPRESENCIAL	03/26/2024	INGENIERÍA EN SISTEMAS	5	MATEMÁTICAS APLICADAS	CUATRIMESTRE 7	6	TERMINAL	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 9	IRREGULAR	JOJUTLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	12/02/2025
15159	INVESTIGACIÓN I	RODRIGUEZ GARCIA MARTHA MARIA	INIM-206248	MRIX216017	FRANCISCO DÍAZ ARREOLA	9.4	A	AC	ORD	03/23/2023	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	15IIS495	Matutino	SEMIPRESENCIAL	05/14/2024	INGENIERÍA EN SISTEMAS	7	INVESTIGACIÓN I	CUATRIMESTRE 5	8	TERMINAL	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 9	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	10/19/2024
15160	MATEMÁTICAS APLICADAS	RODRIGUEZ GARCIA MARTHA MARIA	INIM-203368	MRIX221311	SERGIO CORAZA ROJAS	5.0	NA	EG	ORD	05/18/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	69IIS948	Matutino	VIRTUAL	03/12/2024	INGENIERÍA MECÁNICA	5	MATEMÁTICAS APLICADAS	CUATRIMESTRE 7	4	TERMINAL	OBLIGATORIA	2	NO ACREDITADA	CUATRIMESTRE 2	REGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1	ORDINARIA	08/01/2023
15161	CREATIVIDAD E INNOVACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-200096	MRIX193509	PEDRO HERNÁNDEZ GONZÁLEZ	5.3	NA	RE	EXT	08/31/2023	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	83IIS837	Matutino	SEMIPRESENCIAL	03/08/2025	INGENIERÍA MECÁNICA	10	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 10	6	BÁSICA	OPTATIVA	0	NO ACREDITADA	CUATRIMESTRE 2	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	12/31/2025
15162	INVESTIGACIÓN I	RODRIGUEZ GARCIA MARTHA MARIA	INIM-206113	MRIX212010	SERGIO PÉREZ HERRERA	6.1	NA	EG	ORD	10/23/2023	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	02IIS666	Vespertino	VIRTUAL	08/27/2024	INGENIERÍA EN SISTEMAS	6	INVESTIGACIÓN I	CUATRIMESTRE 9	7	TERMINAL	OBLIGATORIA	2	NO ACREDITADA	CUATRIMESTRE 3	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1	ORDINARIA	09/02/2024
15163	INVESTIGACIÓN I	CORAZA SEGARRA DANIEL ARMANDO	INIM-204762	MRIX214034	DAVID ROLÓN HERNÁNDEZ	9.1	A	AC	EXT	08/02/2025	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	86IIS168	Vespertino	PRESENCIAL	04/22/2023	INGENIERÍA MECÁNICA	6	INVESTIGACIÓN I	CUATRIMESTRE 5	2	PROFESIONAL	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 2	REGULAR	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	05/30/2023
15164	MATEMÁTICAS APLICADAS	CORAZA SEGARRA DANIEL ARMANDO	INIM-202762	MRIX202232	GABRIELA NÚÑEZ RAMÍREZ	9.1	A	EG	EXT	10/09/2024	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	01IIS420	Matutino	PRESENCIAL	01/16/2025	INGENIERÍA MECÁNICA	6	MATEMÁTICAS APLICADAS	CUATRIMESTRE 4	10	PROFESIONAL	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 4	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	05/27/2025
15165	SIMULACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-201235	MRIX218456	MIGUEL ALFARO JAIMES	6.2	NA	EG	ORD	06/23/2024	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	03IIS969	Vespertino	VIRTUAL	02/07/2024	INGENIERÍA EN SISTEMAS	7	SIMULACIÓN	CUATRIMESTRE 9	3	PROFESIONAL	OBLIGATORIA	2	NO ACREDITADA	CUATRIMESTRE 1	REGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	06/06/2023
15166	MATEMÁTICAS APLICADAS	SANTOS LUNA GERARDO	INIM-208227	MRIX239435	PEDRO ROLÓN REYES	6.1	NA	RE	ORD	03/23/2025	ORDINARIA	SANTOS LUNA GERARDO	02IIS778	Matutino	VIRTUAL	07/05/2023	INGENIERÍA MECÁNICA	10	MATEMÁTICAS APLICADAS	CUATRIMESTRE 4	9	PROFESIONAL	OBLIGATORIA	2	NO ACREDITADA	CUATRIMESTRE 10	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	01/15/2025
15167	MATEMÁTICAS APLICADAS	SANTOS LUNA GERARDO	INIM-206358	MRIX239863	EDUARDO FLORES RIVERA	7.8	A	AC	EXT	11/26/2025	ORDINARIA	SANTOS LUNA GERARDO	61IIS565	Vespertino	VIRTUAL	02/28/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	7	MATEMÁTICAS APLICADAS	CUATRIMESTRE 1	4	BÁSICA	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 1	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	01/09/2025
15168	MATEMÁTICAS APLICADAS	RODRIGUEZ GARCIA MARTHA MARIA	INIM-208222	MRIX239934	ALONSO REYES BERRÍOS	5.6	NA	RE	ORD	09/14/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	18IIS550	Vespertino	VIRTUAL	09/24/2025	INGENIERÍA EN SISTEMAS	10	MATEMÁTICAS APLICADAS	CUATRIMESTRE 3	6	TERMINAL	OBLIGATORIA	1	NO ACREDITADA	CUATRIMESTRE 4	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	01/14/2023
15169	SIMULACIÓN	SANTOS LUNA GERARDO	INIM-200706	MRIX212531	ELENA RIVERA FLORES	9.6	A	RE	EXT	02/15/2023	ORDINARIA	SANTOS LUNA GERARDO	17IIS687	Vespertino	VIRTUAL	04/21/2025	LICENCIATURA EN INGENIERÍA INDUSTRIAL	6	SIMULACIÓN	CUATRIMESTRE 10	10	TERMINAL	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 3	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	05/14/2024
15170	MATEMÁTICAS APLICADAS	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-203594	MRIX204824	RAÚL TORRES LÓPEZ	7.4	A	EG	EXT	09/13/2025	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	53IIS715	Vespertino	SEMIPRESENCIAL	08/23/2025	INGENIERÍA MECÁNICA	5	MATEMÁTICAS APLICADAS	CUATRIMESTRE 3	4	TERMINAL	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 10	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	12/16/2023
15171	MATEMÁTICAS APLICADAS	RODRIGUEZ GARCIA MARTHA MARIA	INIM-209827	MRIX218022	JORGE JAIMES ALFARO	5.3	NA	AC	ORD	12/30/2023	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	05IIS998	Matutino	PRESENCIAL	07/17/2023	INGENIERÍA MECÁNICA	10	MATEMÁTICAS APLICADAS	CUATRIMESTRE 9	3	PROFESIONAL	OPTATIVA	2	NO ACREDITADA	CUATRIMESTRE 9	REGULAR	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	09/01/2025
15172	ADMINISTRACIÓN INDUSTRIAL	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-201373	MRIX229146	ISABELA ALFARO SAMANIEGO	5.2	NA	RE	EXT	09/04/2025	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	37IIS712	Matutino	SEMIPRESENCIAL	06/05/2024	INGENIERÍA EN SISTEMAS	5	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 9	7	TERMINAL	OPTATIVA	0	NO ACREDITADA	CUATRIMESTRE 7	REGULAR	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	04/21/2024
